product_name_clean,date,price,main_category,sub_category,discount
تيست بيور لانشون فراخ سادة - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور تركي مدخن - 200 جرام,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
ثمار حمص حار بالطحينة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
ثمار محمرة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
فيشر مان كافيار أحمر - 50 جم,2026-05-11,50.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بيف سادة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بيف بالزيتون - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
ثمار حمص بالطحينة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
لانشون فراخ ريتش,2026-05-11,115.0,Fresh Foods,Chilled Food Counter,0.0
ثمار ثومية - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
السرجة عسل اسود - 1 كجم,2026-05-11,94.0,Fresh Foods,Chilled Food Counter,0.0
سردين سيستار مملح في الزيت - 400 جرام,2026-05-11,400.0,Fresh Foods,Chilled Food Counter,0.0
ثومية مزيانا - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
محمرة مزيانا - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
فول مزيانا بالزيت الحار - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
بابا غنوج مزيانا - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
حمص مزيانا بالطحينة - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
حمص مزيانا بالبنجر - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقري جريت فودز - 250 جرام,2026-05-11,,Fresh Foods,Chilled Food Counter,0.0
السرجا زيت سمسم نقي وطازج,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
بذور الكتان الطازجة والنقية,2026-05-11,190.0,Fresh Foods,Chilled Food Counter,0.0
زيت زيتون بكر ممتاز - 250 مل,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون فراخ سادة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
مكعبات لحم بقري بلدي قليل الدسم,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
لحم بقري مفروم بلدي,2026-05-11,15.0,Fresh Foods,Meat & Poultry,0.0
سجق بقري,2026-05-11,9.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج,2026-05-11,66.0,Fresh Foods,Meat & Poultry,0.0
مكعبات لحم بقري بلدي,2026-05-11,9.0,Fresh Foods,Meat & Poultry,0.0
صدور دجاج كوكي بالعظم - 1 كجم,2026-05-11,184.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست كبدة شرائح مجمدة - 850 - 1000 جرام,2026-05-11,10.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست لحمة مفرومة هندي مجمدة - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج شهد - 1 كجم,2026-05-11,29.0,Fresh Foods,Meat & Poultry,0.0
رامب بقري بلدي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة من شهد - 1100/ 1000 جرام,2026-05-11,1100.0,Fresh Foods,Meat & Poultry,0.0
دوش بقري,2026-05-11,4.0,Fresh Foods,Meat & Poultry,0.0
برجر لحم بقري,2026-05-11,100.0,Fresh Foods,Meat & Poultry,0.0
ستروجانوف باللحم بلدي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
سمانة بقري بلدي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
كبد دجاج,2026-05-11,75.0,Fresh Foods,Meat & Poultry,0.0
ظهر فخدة بلدي بقري,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
دجاج بانيه متبل,2026-05-11,169.0,Fresh Foods,Meat & Poultry,0.0
فيليه رومي,2026-05-11,20.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست كفتة مجمدة - 850-1000 جرام,2026-05-11,11.0,Fresh Foods,Meat & Poultry,0.0
شهد أوراك دجاج - 800 جرام,2026-05-11,800.0,Fresh Foods,Meat & Poultry,0.0
جرين لاين كبدة شرايح - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
موزة بقري بلدي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
ديك رومي كامل,2026-05-11,17.0,Fresh Foods,Meat & Poultry,0.0
دبابيس دجاج كوكي - 1 كجم,2026-05-11,184.0,Fresh Foods,Meat & Poultry,0.0
كفته بقري,2026-05-11,100.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست سوسيس مجمد - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
